;Loire-Atlantique;Maine-et-Loire;Mayenne;Sarthe;Vendée
Athletisme;37;41;45;47;36
Basket-Ball;160;208;118;110;183
Equitation;113;107;102;86;102
Sports_sous_marins;21;17;14;17;14
Football;421;471;698;432;500
Golf;59;46;25;36;33
Gymnastique;24;34;23;51;30
Handball;79;70;96;75;108
Judo-jujitsu;80;95;102;71;88
Karate_et_arts_martiaux;28;26;23;23;22
Natation;42;37;36;39;17
Petanque_et_jeu_provencal;22;36;63;34;48
Randonnee_pedestre;38;24;58;43;23
Rugby;29;16;12;16;23
Ski;3;0;7;1;0
Tennis;171;150;132;133;157
Tennis_de_table;50;51;102;51;58
Tir;12;11;11;12;11
Voile;86;11;7;5;132
Autres_federations;308;241;312;336;256
Federations_multisports_affinitaires;1279;1074;934;750;1004
