;Loire-Atlantique;Maine-et-Loire;Mayenne;Sarthe;Vendée
Athletisme;4733;3172;1383;2657;2257
Basket-Ball;20248;16201;3595;6198;11435
Equitation;14361;8314;3101;4813;6367
Sports_sous_marins;2677;1361;428;974;904
Football;53263;36767;21298;24246;31301
Golf;7471;3592;768;2005;2055
Gymnastique;3020;2624;691;2858;1894
Handball;10014;5455;2935;4185;6758
Judo-jujitsu;10150;7404;3099;3971;5493
Karate_et_arts_martiaux;3597;2016;717;1299;1395
Natation;5311;2922;1109;2204;1051
Petanque_et_jeu_provencal;2743;2807;1933;1881;2999
Randonnee_pedestre;4861;1911;1779;2425;1461
Rugby;3664;1263;370;906;1452
Ski;393;0;210;72;0
Tennis;21655;11733;4023;7464;9814
Tennis_de_table;6315;3980;3110;2835;3630
Tir;1505;830;340;681;699
Voile;10925;838;212;306;8250
Autres_federations;39006;18766;9523;18876;16060
Federations_multisports_affinitaires;162025;83756;28511;42074;62868
