;Loire-Atlantique;Maine-et-Loire;Mayenne;Sarthe;Vendée
Athletisme;48;47;55;57;43
Basket-Ball;161;209;121;111;179
Equitation;122;119;109;92;107
Sports_sous_marins;21;18;17;18;14
Football;379;435;609;382;448
Golf;61;44;24;37;35
Gymnastique;27;30;35;50;33
Handball;100;66;88;102;107
Judo-jujitsu;80;99;106;67;84
Karate_et_arts_martiaux;30;25;31;23;24
Natation;41;40;41;33;16
Petanque_et_jeu_provencal;21;36;66;35;51
Randonnee_pedestre;38;26;57;42;27
Rugby;32;16;13;17;24
Ski;3;1;6;2;2
Tennis;172;148;129;124;153
Tennis_de_table;51;52;101;52;57
Tir;11;11;11;14;13
Voile;87;13;6;6;138
Autres_federations;364;248;332;268;404
Federations_multisports_affinitaires;1338;1087;779;768;1045
