;Loire-Atlantique;Maine-et-Loire;Mayenne;Sarthe;Vendée
Athletisme;6205;3699;1699;3231;2790
Basket-Ball;20889;16542;3715;6257;11477
Equitation;15787;9378;3346;5183;6898
Sports_sous_marins;2753;1407;522;1026;914
Football;49143;34366;18697;21610;28775
Golf;7913;3512;743;2107;2231
Gymnastique;3553;2393;1069;2849;2114
Handball;12987;5226;2706;5744;6883
Judo-jujitsu;10372;7857;3252;3770;5388
Karate_et_arts_martiaux;3830;2002;938;1278;1543
Natation;5330;3156;1250;1853;1051
Petanque_et_jeu_provencal;2716;2818;2023;1967;3255
Randonnee_pedestre;4970;2055;1752;2404;1707
Rugby;4140;1242;392;963;1510
Ski;397;92;188;85;98
Tennis;22304;11687;3953;7014;9831
Tennis_de_table;6564;4089;3090;2919;3649
Tir;1456;863;350;786;846
Voile;11332;1029;184;326;8836
Autres_federations;47243;19603;10201;15170;25933
Federations_multisports_affinitaires;173415;85942;23921;43455;67076
